Country,happiness_score,gdp_per_capita,family,health,freedom,generosity,government_trust,dystopia_residual,continent,Year_x,social_support,cpi_score,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year_y,Life Expectancy at birth,BMI,Alcohol,Tuberculosis,Syphilis,Chlamydia,Gonorrhoea,Trichomoniasis,Genital herpes,Other STDs,HIV/AIDS,Diarrhoeal diseases,Whooping cough,Diphtheria,Measles,Tetanus,Meningitis,Encephalitis,Acute hepatitis A,Acute hepatitis B,Acute hepatitis C,Acute hepatitis E,Malaria,African Trypanosomiasis,Chagas disease,Schistosomiasis,Leishmaniasis,lymphatic filariasis,Onchocerciasis,Cysticercosis,Echinococcosis,Dengue,Trachoma,Yellow fever,Rabies,Ascariasis,Trichuriasis,Hookworm disease,Food-bourne trematodes,Leprosy,Lower respiratory infections,Upper respiratory infections,Otitis media,Preterm birth complications,Birth asphyxia and birth trauma,Neonatal sepsis and infections,Other neonatal conditions,Protein-energy malnutrition,Iodine deficiency,Vitamin A deficiency,Iron-deficiency anaemia,Other nutritional deficiencies,Mouth and oropharynx cancers,Oesophagus cancer,Stomach cancer,Colon and rectum cancers,Liver cancer,Pancreas cancer,"Trachea, bronchus, lung cancers",Malignant skin melanoma,Non-melanoma skin cancer,Breast cancer,Cervix uteri cancer,Corpus uteri cancer,Ovary cancer,Prostate cancer,Testicular cancer,Kidney cancer,Bladder cancer,Brain and nervous system cancers,Gallbladder and biliary tract cancer,Larynx cancer,Thyroid cancer,Hodgkin lymphoma,Non-Hodgkin lymphoma,Multiple myeloma,Leukaemia,Diabetes mellitus,"Endocrine, blood, immune disorders",Depressive disorders,Bipolar disorder,Schizophrenia,Alcohol use disorders,Drug use disorders,Anxiety disorders,Eating disorders,Autism and Asperger syndrome,Childhood behavioural disorders,Idiopathic intellectual disability,Alzheimer disease and other dementias,Parkinson disease,Epilepsy,Multiple sclerosis,Migraine,Non-migraine headache,Other neurological conditions,Sense organ diseases,Rheumatic heart disease,Hypertensive heart disease,Ischaemic heart disease,Stroke,"Cardiomyopathy, myocarditis, endocarditis",Other circulatory diseases,Chronic obstructive pulmonary disease,Asthma,Peptic ulcer disease,Cirrhosis of the liver,Appendicitis,Gastritis and duodenitis,Paralytic ileus and intestinal obstruction,Inflammatory bowel disease,Gallbladder and biliary diseases,Pancreatitis,Kidney diseases,Benign prostatic hyperplasia,Urolithiasis,Other urinary diseases,Infertility,Gynecological diseases,Skin diseases,Rheumatoid arthritis,Osteoarthritis,Gout,Back and neck pain,Other musculoskeletal disorders,Neural tube defects,Cleft lip and cleft palate,Down syndrome,Congenital heart anomalies,Other chromosomal anomalies,Other congenital anomalies,Oral conditions,Sudden infant death syndrome,Road injury,Poisonings,Falls,"Fire, heat and hot substances",Drowning,Exposure to mechanical forces,Natural disasters,Other unintentional injuries,Self-harm,Interpersonal violence,Collective violence and legal intervention
Denmark,7.526,1.44178,1.16374,0.79504,0.57941,0.36171,0.44453,2.73939,Europe,2019,0.0,87,2,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41,2019.0,81.305,,10.19,0.007750893,0.00016119749999999998,0.00017865,0.0,0.0,0.0,0.0003511675,0.0112712415,0.0722821275,4.32e-06,2.22e-07,0.000160673,0.000201618,0.0124735495,0.0002826715,0.001273824,0.0030259245,0.0042893015,0.000311198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.121770438,0.007659785,0.0008807575,0.0582259645,0.0106197695,0.0026320465,0.006329753,0.007001859,0.0,0.0,0.036535211,0.007878884499999999,0.185334539,0.2382704665,0.24205042249999997,1.0733887255,0.2322105925,0.547950006,1.8606113565,0.151219046,0.043019401,0.649456525,0.0763550455,0.0778064415,0.1835345325,0.739972579,0.0050662615,0.2049199055,0.2727102445,0.27612661299999997,0.08421355050000001,0.042729964999999995,0.0224703145,0.013765890499999999,0.18566647549999998,0.165401838,0.2791992305,0.641920453,0.2872880315,0.0,0.0096695375,0.0283748495,0.2991969765,0.09839448,0.000167482,0.0,0.0,0.0,0.011866193,2.608772862,0.3000117485,0.0625120935,0.0659801305,0.0003733915,0.0,0.2552738995,0.0014968070000000002,0.0482073535,0.3212405475,2.670645963,1.8311505339999998,0.142214634,1.3758370384999998,2.1932969079999998,0.041161898,0.108114509,0.346043873,0.011476154999999998,0.0076565290000000005,0.108286838,0.023660584,0.072730051,0.08260572399999999,0.45537814499999996,0.012264023,1.405e-07,0.21497612,0.0,0.0,0.0394443615,0.0422378775,0.012697904,0.0047626115,0.014839316,0.128707136,0.002039921,2.705e-06,0.018639962000000003,0.0211758405,0.0107851565,0.023917534,0.0020604869999999997,0.000538583,0.1067316515,0.0027802689999999997,0.270353164,0.026409481500000002,0.018607648499999997,0.0095766065,0.0,0.17356602799999998,0.308667562,0.031506635,0.00029471149999999997
Switzerland,7.509,1.52733,1.14524,0.86303,0.58557,0.28083,0.41203,2.69463,Europe,2019,0.0,85,6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343,2019.0,83.41499999999999,,11.315,0.010627002,0.000753108,0.0,0.0,0.0,0.0,0.001248902,0.014516255,0.0929182095,2.065e-05,1.5e-07,0.0,0.000197034,0.0099638465,0.000333884,0.000875233,0.002260485,0.007522176,4.685e-05,0.0,0.0,0.0,0.000174292,0.000186012,0.0,0.0,0.0,0.0039861155,0.0,0.0,0.0,0.005870585,0.0,0.0,0.0,0.0,0.0,0.9746461229999999,0.0054342075,0.00020150235,0.0524481685,0.015974687,0.005603767,0.0017477025,0.042060334,0.000565733,0.0,0.0508088615,0.008643791,0.2501983735,0.24542448100000003,0.3068282335,0.997302574,0.402476083,0.742934567,1.7597514365,0.17361885700000002,0.0729602305,0.7884506435,0.0525382205,0.1118312405,0.2286079315,0.7896477165,0.006633832,0.21349951550000001,0.3347385985,0.2856331535,0.1177182465,0.0433189775,0.0399869315,0.01709561,0.31458486399999996,0.2339362645,0.335631645,0.510906435,0.2964262165,0.0,0.009248704,0.0481412805,0.114465039,0.0880201065,0.0010533075,0.0,0.0,0.0,0.0115557845,3.596125315,0.42856488400000003,0.0792509185,0.079936076,0.0001829575,0.0,0.5022252540000001,0.016578633,0.0389087935,1.235655748,5.356615443,1.9587850759999998,0.513421743,1.5554310345,1.4510522135000001,0.0473540955,0.0611458165,0.338645319,0.0072747845,0.010052676,0.161860823,0.033653906,0.0997628445,0.053034434,0.6305454875000001,0.0158976825,3.135e-07,0.2328303115,0.0,0.0,0.064636585,0.033884909500000004,0.084822669,0.002902833,0.0447307235,0.2074102385,0.0065675314999999995,0.000912272,0.039401334999999996,0.038055439999999996,0.028127428,0.0395197335,0.0040412175,0.0054113930000000005,0.0964999995,0.0064723,0.959652656,0.0106708275,0.024640026500000002,0.0171698125,0.001957434,0.204805553,0.6245273755,0.021166751499999997,0.000441201
Iceland,7.501,1.42666,1.18326,0.86733,0.56624,0.47678,0.14975,2.83137,Europe,2019,0.0,78,4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118,2019.0,82.34,,9.209999999999999,0.0,6.6e-08,0.0,0.0,0.0,0.0,0.0,0.000232917,0.00048552200000000006,5.7949999999999996e-06,1.32e-07,0.0,0.0,0.000639281,0.0,7.575e-05,1.67e-06,0.000552851,1.1505e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0411594225,0.0005532499999999999,2.6565e-07,0.0015064615,0.0012433995,0.000187113,0.0001351235,0.0002732075,0.0,0.0,0.0018325545,0.000318053,0.0042706294999999995,0.011263054000000002,0.0087789295,0.0367217965,0.01118526,0.0216544665,0.067095118,0.005955821,0.000537087,0.026675872,0.004594665,0.0034558275,0.008217018,0.030420372,0.0,0.010243596,0.010175347,0.014004382,0.0026372595,0.0009933214999999999,0.001896269,0.000807285,0.010331144,0.007241406000000001,0.009448073,0.014828654,0.007794651499999999,0.0,0.0,0.0007279595,0.007071656999999999,0.008403024,0.0,0.0,0.0,0.0,0.000831883,0.147728897,0.0264872605,0.002710549,0.0013806685,0.0,0.0,0.012444069,0.0002630445,0.000521152,0.0121050565,0.20171375149999998,0.070294085,0.0078110015,0.057103147,0.06434981249999999,0.0008314195,0.001627293,0.004730682,2.005e-07,5.0999999999999993e-08,0.003124168,0.0026793205,0.002334455,0.0032094695,0.016621266,0.0005315875,2.765e-08,0.0055395355,0.0,0.0,0.0013171745000000001,0.002116207,0.001035627,0.0,0.0002630445,0.0026370565,3.41e-05,1.085e-07,0.001360374,0.001205852,0.0004676095,0.0006583765,0.0,6.67e-05,0.003473684,0.0016143755,0.0118426115,0.000269136,0.00045599149999999995,0.000284085,0.0,0.025006866500000002,0.020119789500000002,0.002004661,2.02e-05
Norway,7.498,1.57744,1.1269,0.79579,0.59609,0.37895,0.35776,2.66465,Europe,2019,0.0,84,3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341,2019.0,82.60499999999999,,7.125,0.0074763315,0.000415224,0.0,0.0,0.0,0.0,0.0017015985,0.005177401,0.06390699749999999,0.0006228255,4.175e-07,0.0,0.000183623,0.006804388,8.855e-05,0.0017074055000000001,0.0016891955,0.0084270415,0.000243623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8983020255,0.0058070265,0.0005806155,0.0117036395,0.0087253575,0.0018793665,0.0098063855,0.0675575815,0.0,0.0,0.037293202,0.0031581639999999998,0.0838457435,0.1239223875,0.17168253,0.8933012819999999,0.129594606,0.3850276545,1.159934624,0.17569108249999998,0.028014960499999998,0.349005311,0.0624879575,0.0670523985,0.154468197,0.5861044215,0.002149244,0.1507329255,0.1780527905,0.17608002150000002,0.0443030565,0.021014129,0.0249005505,0.0107594505,0.165919588,0.14615804300000002,0.1768726905,0.2797647055,0.17943234149999998,0.0,0.004930601,0.0114045785,0.1022914535,0.1317860795,0.0,0.0,0.0,0.0,0.0060682685,2.2321227439999998,0.2770768195,0.0596386735,0.059541256,0.0,0.0,0.2512655165,0.0001719055,0.030676637,0.114930099,2.6604280355,1.2377127615,0.110484324,1.009367873,1.3614629335,0.042270979,0.0798293555,0.106807231,0.006028550000000001,0.008514265,0.0683302495,0.01493922,0.0749754525,0.0341335505,0.30538451450000004,0.0162000755,4.7149999999999995e-07,0.176626798,0.0,0.0,0.063822216,0.030214526499999998,0.013644571500000001,0.003094788,0.0153439615,0.1059665225,0.0031421215,2.3305e-06,0.0225247165,0.015839894,0.0096395515,0.0169925465,0.004314293,0.002790928,0.0570971215,0.007180364999999999,0.388723316,0.022297538,0.032321727,0.0131666565,0.0,0.2914742345,0.316696098,0.0159679115,0.0002677765
Finland,7.413,1.40598,1.13464,0.81091,0.57104,0.25492,0.41004,2.82596,Europe,2019,0.0,86,1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393,2019.0,81.6,,10.774999999999999,0.0160078195,0.00017612649999999998,0.0,0.0,0.0,0.0,0.000840666,0.002781146,0.007649426500000001,1.335e-05,1.385e-07,0.0,0.0,0.004705785,0.000239824,0.000127508,0.0008265815,0.0022882395,9.962049999999999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2181161715,0.0009893565,0.00016019350000000002,0.013085661,0.0038847505,0.001540556,0.0042031065,0.0033019155,0.0,0.0,0.0028141324999999997,0.002310836,0.1035611725,0.159898315,0.2234061545,0.7166302234999999,0.2725470855,0.6235349205,1.1560491499999999,0.1208410695,0.0277290485,0.474101747,0.031044438,0.112533909,0.1721830875,0.4850935415,0.003057066,0.21389341750000002,0.154197717,0.185912885,0.131643028,0.025369006,0.0270331485,0.0144980795,0.251168722,0.159736733,0.1855830335,0.2088942835,0.128320846,0.0,0.0020581705,0.046489049000000005,0.2321805415,0.1345800545,0.0,0.0,0.0,0.0,0.032281081,5.560122657,0.4264273385,0.0520672545,0.040087495,0.0,0.0,0.2816027745,0.000170879,0.009497147000000001,1.0150174079999998,4.915498171,2.057488643,0.259007591,1.1937061295,0.6446643105000001,0.042355004,0.07573977949999999,0.534014436,0.0047529865000000004,0.008384611,0.077932945,0.0087251685,0.0792412715,0.078120932,0.170919166,0.0054206215,1.455e-07,0.0202577745,0.0,0.0,0.013569709,0.041512229,0.0083616665,0.0001697335,0.0109258515,0.0527462345,0.00297709,0.000100297,0.0324637185,0.0200439735,0.017075211,0.023305782,0.0018808085,0.002784478,0.1074999995,0.0123922465,0.662583685,0.030798166000000002,0.0529805545,0.018788823,0.0,0.21837319500000002,0.423061069,0.032138998,0.000278218
Canada,7.404,1.44015,1.0961,0.8276,0.5737,0.44834,0.31329,2.70485,North America,2019,0.0,77,9,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308,2019.0,82.225,,8.870000000000001,0.0487144785,0.00258945,0.0,0.00033223949999999997,0.0,0.0,0.0047846995,0.0814323035,0.4201777885,0.0003955775,1.3849999999999999e-06,0.0,0.0001818815,0.03422699,0.0015172975,0.0073020535,0.0329495825,0.181509445,0.000594308,0.0,0.0,0.0003320795,0.0,0.0,0.0,0.0,0.0,0.0013843675,0.0001691495,0.0,0.0,0.00019962149999999999,0.0,0.0,0.0,0.0,0.0,3.7157242189999997,0.023340167000000002,0.0037817035,0.276742132,0.096430703,0.0288810485,0.139910099,0.0961879385,0.0,0.0,0.17139648600000001,0.0173372495,0.7960209650000001,1.1148871865,1.088705318,4.825409554,1.5563892935,2.5287187964999998,10.468410367,0.596153982,0.281986442,2.9550678684999996,0.289000716,0.5914109985,0.9510456405,2.3554305355,0.0211829955,1.0265083179999999,1.260279198,1.227800791,0.307854308,0.225399925,0.12854710349999998,0.062159351,1.6324370795,0.8785161975,1.5490845045000001,2.858868855,1.616274691,0.0,0.016916122,0.059243910999999996,0.7454506505,1.8430424189999999,0.0003815395,0.0,0.0,0.0,0.026972015000000002,15.48480148,1.6794507665,0.192018574,0.3461064145,0.000197858,0.0,2.0580090655,0.0117081935,0.317878701,1.281335482,20.03168019,7.079393628,1.0298991554999999,5.360890078000001,7.106109408,0.1310526325,0.221066234,1.8117808675,0.024674062,0.025880933000000002,0.5878019715,0.0997429715,0.3892291,0.251835299,2.2888831185000003,0.0713094335,1.33e-06,0.9098906655000001,0.0,0.0,0.3395045265,0.161199299,0.069324783,0.0100393275,0.063007304,0.6781784225,0.029760962000000002,0.00028335000000000003,0.1203383565,0.13640664600000002,0.084187172,0.1695766175,0.02538029,0.0162747405,0.998865884,0.0607139875,2.4145443569999996,0.0961334695,0.1415356365,0.10812203299999999,0.0,1.1962051809999998,2.208314486,0.3025161,0.010509029999999999
Netherlands,7.339,1.46468,1.02912,0.81231,0.55211,0.47416,0.29927,2.70749,Europe,2019,0.0,82,5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,2019.0,81.775,,9.72,0.0143126535,0.000358828,0.0,0.0,0.0,0.0,0.0007378735,0.0163642545,0.291967684,0.00048379749999999996,7.105e-07,0.0,0.0,0.0392482705,0.0004477835,0.0026963265,0.0067535895000000006,0.01020396,0.001324381,0.0,0.0,0.0,0.0,0.000177197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4731087599999997,0.014037253,0.0049555450000000004,0.083716768,0.036949129,0.028053591,0.028597314999999998,0.0060459764999999995,0.0,0.0,0.1246541085,0.0502515665,0.3838322245,1.0726253374999999,0.680422836,2.9146723155,0.581489495,1.4975395370000002,5.4897801914999995,0.4401831485,0.07187331,1.7674059695000002,0.1330962375,0.283124462,0.533390035,1.6324983755,0.0123774865,0.5263698085,0.735613017,0.5656777985,0.2443592605,0.12775667400000001,0.062231246000000004,0.0407897545,0.730652786,0.48410220800000003,0.7892240755,1.1930086375,0.5272937719999999,0.0,0.016422437499999998,0.047849894500000004,0.306238432,0.1153687985,0.008537026,0.0,0.0,0.0,0.049426222,9.0741236295,1.059807244,0.144506359,0.1473711365,0.00089023,0.0,0.906812175,0.006459995,0.11875490799999999,0.4090792245,8.80034674,4.853476776000001,0.6004025310000001,3.438490144,4.7836754345,0.0825650015,0.065082761,0.46782310850000003,0.012751829499999999,0.006981698999999999,0.3056295405,0.038779928,0.20269879400000002,0.126766941,1.265132721,0.0208737405,5.885e-07,0.729358931,0.0,0.0,0.147701898,0.1071002145,0.10998926649999999,0.0101900415,0.063892472,0.311387003,0.0186359055,6.765e-06,0.101173347,0.050411318499999996,0.033308001000000004,0.068388234,0.010523656,0.00505165,0.34049999750000004,0.0087006115,2.0653871820000003,0.0246004865,0.0489192275,0.032825202,0.0,0.8241294605,1.012456159,0.053653206,0.0008955165
New Zealand,7.334,1.36066,1.17278,0.83096,0.58147,0.49401,0.41904,2.47553,Australia,2019,0.0,87,8,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38,2019.0,81.94,,10.845,0.008568256,0.0001753455,0.0,0.0,0.0,0.0,0.0013133775,0.0051994305,0.040420611499999995,0.000374215,2e-07,0.0,0.0001842205,0.004493855,0.0003466465,0.0004086685,0.006924918,0.014799845499999999,0.0007832815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.460020589,0.001827904,0.0003369725,0.0392008545,0.007284004,0.0051288515,0.0057263950000000004,0.0070347295,0.0,0.0,0.0087423755,0.001379679,0.08182244,0.139500332,0.1613964145,0.7473505785,0.1439299955,0.271422117,0.9367077245,0.2144986225,0.091270032,0.3683865235,0.030377039,0.0722530085,0.1034237855,0.369421696,0.0039581585,0.130463618,0.13340078,0.14240664349999999,0.05440508,0.01623695,0.0171282525,0.008876137499999999,0.175984223,0.1192169975,0.1955032155,0.384287987,0.162267163,0.0,0.0038320125,0.0040209785,0.025696715000000002,0.0345623865,0.000134381,0.0,0.0,0.0,0.002578163,1.5158390810000002,0.176514758,0.027492383500000002,0.021698922,0.0,0.0,0.1880110485,0.0005568540000000001,0.05629557,0.1634114935,2.5475662215,1.189132048,0.15646027899999998,0.7583994755000001,0.9074158670000001,0.0453159335,0.0351113275,0.0788054765,0.0029208065000000004,0.0042854634999999995,0.071586907,0.011069511,0.049329134499999996,0.0303340545,0.21599728299999998,0.0110548105,2.1049999999999999e-07,0.0962869395,0.0,0.0,0.058955821500000005,0.0235172405,0.0120025435,0.001317213,0.0103407825,0.080953104,0.005470153,2.9449999999999998e-06,0.014772272999999999,0.0257057725,0.0136850975,0.028118034,0.0038936705,0.006350833,0.228975898,0.0046422965,0.3133240485,0.0084401055,0.027175412,0.019550524,0.0010571375,0.10904262,0.264184862,0.0286506775,0.000287466
Australia,7.313,1.44443,1.10476,0.8512,0.56837,0.47407,0.32331,2.5465,Australia,2019,0.0,77,11,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29,2019.0,83.045,,10.415000000000001,0.0262877475,0.0014300475,0.0,0.0,0.0,0.0,0.0030043455,0.0250014995,0.14780919850000002,0.0007142565,0.0001579765,0.0,0.000685876,0.0185738175,0.001343987,0.009093364999999999,0.020545623,0.08649200000000001,0.001238539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003073345,1.585e-06,0.0,0.0,2.3769999999999998e-05,0.0,0.0,0.0,0.0,0.0,2.223081611,0.008492918,0.0030490294999999997,0.1240454695,0.070040188,0.0070665864999999994,0.06448340450000001,0.058417184,0.0,0.0,0.0786438455,0.010623652,0.4860958045,0.746793852,0.6439504935,3.1044018755,1.0180614585,1.558754432,4.3842726085,0.7768281699999999,0.382440499,1.7027121090000001,0.1707946255,0.26205691,0.5012588915,1.8831211095,0.01484642,0.547361769,0.5936717045000001,0.808337471,0.1619621125,0.1094909935,0.082441897,0.044618926,0.8977521815,0.5769614949999999,1.0630502,2.235591449,1.164177029,0.0,0.006174556500000001,0.0319546505,0.1899181455,0.8913741740000001,0.0005392865,0.0,0.0,0.0,0.008174372499999999,7.7942483854999995,1.0180819795,0.1423073625,0.093867881,0.0003477255,0.0,1.1706139489999998,0.009437642,0.18942418249999998,0.8157051205,10.774146319,5.165527228,0.785488075,3.380474554,4.243696478,0.2276832545,0.1379554755,0.7107331845,0.013192606999999999,0.0089888005,0.3932538975,0.0421729885,0.24982519549999999,0.1326954595,1.569616644,0.035604775,1.165e-06,0.58220331,0.0,0.0,0.297151295,0.1144401605,0.05700413,0.015795731,0.0318328695,0.5184760825,0.026647503,0.00023923150000000002,0.061653124499999996,0.1023532435,0.051874256,0.112551186,0.019967929,0.0220001475,0.622410551,0.0173594715,1.557893537,0.027304712,0.0885648585,0.053152830500000005,0.0020462735,0.8212127665,1.5748822745,0.1217303585,0.0039290845
Sweden,7.291,1.45181,1.08764,0.83121,0.58218,0.38254,0.40867,2.54734,Europe,2019,0.0,85,7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373,2019.0,82.4,,9.059999999999999,0.011988728,1.47e-06,0.0,0.0,0.0,0.0,0.0019403615,0.006338671,0.144661319,0.00023227800000000001,0.000167329,0.0,0.0001819635,0.017543058,0.000103164,0.0015386085,0.004735113,0.022042253499999998,0.000135319,0.0,0.0,0.0,0.000178384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3293841579999999,0.009750102,0.000346548,0.025151675499999998,0.0167865485,0.0034346895,0.025010201500000002,0.0585080355,0.0,0.0,0.087377676,0.007042035,0.1896346875,0.2690503845,0.306236423,1.524698227,0.375908154,0.924307819,1.861080739,0.27485107799999997,0.05031775300000001,0.7911774025,0.113760034,0.1723359565,0.27634379,1.311069522,0.004020859,0.34033339949999997,0.38009443649999997,0.3378121465,0.282575637,0.034937437,0.04441428,0.015549899499999999,0.383006016,0.27976603499999997,0.412740754,0.917183715,0.35099699500000003,0.0,0.011455869,0.0317250005,0.17931939600000002,0.2116882675,0.0003597835,0.0,0.0,0.0,0.016445959,5.458430471,0.47150185200000005,0.0602748045,0.0851346385,0.0,0.0,0.472413795,0.0009145900000000001,0.055157559,0.9192043544999999,7.567804085000001,3.0173793955,0.273464339,3.0239345395,2.1721881235,0.07916342600000001,0.1385594905,0.361741171,0.0090212885,0.005499934,0.1339665425,0.026468936,0.129660814,0.08737945650000001,0.814523656,0.0229216885,3.755e-06,0.2258868495,0.0,0.0,0.109964063,0.06440486000000001,0.0119385605,0.0023722415,0.020810932999999997,0.15929593150000002,0.0084966885,5.065e-06,0.0427766365,0.0380738665,0.019641012,0.044870847,0.004170337,0.008006457,0.1575445205,0.0088640405,0.554519561,0.0323164055,0.057237061000000006,0.028579337,0.0,0.6867505780000001,0.7397340975,0.0564562865,0.0008401505
